Word_1	Part_1	Word_2	Part_2
translate	verb	переводить	глагол
accurate	adjective	точный	прилагательное
whereas	conjunction	тогда как	соединение
terror	noun	террор	существительное
expansion	noun	расширение	существительное
elite	noun	элита	существительное
olympic	adjective	олимпийский	прилагательное
dirt	noun	грязь	существительное
odd	adjective	странный	прилагательное
rice	noun	рис	существительное
bullet	noun	пуля	существительное
tight	"adjective	 adverb"	тугой	"прилагательное	 наречие"
bible	noun	Библия	существительное
chart	"noun	 verb"	диаграмма	"существительное	 глагол"
solar	adjective	солнечный	прилагательное
square	"noun	 adjective	 verb"	квадрат	"существительное	 прилагательное	 глагол"
concentration	noun	концентрация	существительное
complicated	adjective	сложный	прилагательное
gently	adverb	нежно	наречие
champion	"noun	 verb"	чемпион	"существительное	 глагол"
scenario	noun	сценарий	существительное
telescope	"noun	 verb"	телескоп	"существительное	 глагол"
reflection	noun	отражение	существительное
revolution	noun	революция	существительное
strip	"noun	 verb"	полоска	"существительное	 глагол"
interpret	verb	интерпретировать	глагол
friendly	adjective	дружелюбно	прилагательное
tournament	noun	турнир	существительное
fiction	noun	вымысел	существительное
detect	verb	обнаружить	глагол
tremendous	adjective	огромный	прилагательное
lifetime	noun	продолжительность жизни	существительное
recommendation	noun	рекомендация	существительное
senator	noun	сенатор	существительное
hunting	noun	охота	существительное
salad	noun	салат	существительное
guarantee	"noun	 verb"	гарантия	"существительное	 глагол"
innocent	"adjective	 noun"	невиновный	"прилагательное	 существительное"
boundary	noun	граница	существительное
pause	verb noun	пауза	глагол существительное
remote	"adjective	 noun"	удаленный	"прилагательное	 существительное"
satisfaction	noun	удовлетворение	существительное
journal	noun	журнал	существительное
bench	noun	лавка	существительное
lover	noun	возлюбленный	существительное
raw	adjective	сырой	прилагательное
awareness	noun	осведомленность	существительное
surprising	adjective	удивительно	прилагательное
withdraw	verb	отзывать	глагол
deck	noun	палуба	существительное
similarly	adverb	сходным образом	наречие
newly	adverb	недавно	наречие
pole	noun	столб	существительное
testify	verb	свидетельствовать	глагол
mode	noun	режим	существительное
dialogue	noun	диалог	существительное
imply	verb	подразумевать	глагол
naturally	adverb	естественно	наречие
mutual	adjective	взаимный	прилагательное
founder	noun	основатель	существительное
advanced	adjective	передовой	прилагательное
pride	noun	гордость	существительное
dismiss	verb	увольнять	глагол
aircraft	noun	самолет	существительное
delivery	noun	доставка	существительное
mainly	adverb	главным образом	наречие
bake	verb	выпекать	глагол
freeze	"verb	 noun"	заморозить	"глагол	 существительное"
platform	noun	платформа	существительное
finance	"noun	 verb"	финансы	"существительное	 глагол"
sink	"verb	 noun"	раковина	"глагол	 существительное"
attractive	adjective	привлекательный	прилагательное
diverse	adjective	разнообразный	прилагательное
relevant	adjective	соответствующий	прилагательное
ideal	"adjective	 noun"	идеальный	"прилагательное	 существительное"
joy	noun	радость	существительное
regularly	adverb	регулярно	наречие
working	"adjective	 noun"	работающий	"прилагательное	 существительное"
singer	noun	певец	существительное
evolve	verb	эволюционировать	глагол
shooting	noun	стрельба	существительное
partly	adverb	частично	наречие
unknown	"adjective	 noun"	неизвестный	"прилагательное	 существительное"
offense	noun	преступление	существительное
counter	"noun	 verb	 adverb"	прилавок	"существительное	 глагол	 наречие"
dna	noun	ДНК	существительное
potentially	adverb	потенциально	наречие
thirty	number	тридцать	число
justify	verb	оправдывать	глагол
protest	"noun	 verb"	протест	"существительное	 глагол"
crash	"noun	 verb"	крушение	"существительное	 глагол"
craft	noun verb	ремесло	существительное глагол
treaty	noun	договор	существительное
terrorist	noun	террорист	существительное
insight	noun	понимание	существительное
possess	verb	владеть	глагол
politically	adverb	политически	наречие
tap	verb noun	кран	глагол существительное
extensive	adjective	обширный	прилагательное
episode	noun	эпизод	существительное
swim	"verb	 noun"	плавать	"глагол	 существительное"
tire	"verb	 noun"	шина	"глагол	 существительное"
fault	"noun	 verb"	вина	"существительное	 глагол"
loose	"adjective	 verb"	свободный	"прилагательное	 глагол"
shortly	adverb	вскоре	наречие
originally	adverb	изначально	наречие
considerable	adjective	значительный	прилагательное
prior	adjective	прежний	прилагательное
intellectual	adjective noun	интеллектуальный	прилагательное существительное
assault	noun verb	атаковать	существительное глагол
relax	verb	расслабляться	глагол
stair	noun	лестница	существительное
adventure	noun	приключение	существительное
external	adjective	внешний	прилагательное
proof	"noun	 verb"	доказательство	"существительное	 глагол"
confident	adjective	уверенный	прилагательное
headquarters	noun	штаб-квартира	существительное
sudden	adjective	внезапный	прилагательное
dirty	"adjective	 verb"	грязный	"прилагательное	 глагол"
violation	noun	нарушение	существительное
tongue	noun	язык	существительное
license	"noun	 verb"	лицензия	"существительное	 глагол"
shelter	"noun	 verb"	приют	"существительное	 глагол"
rub	"verb	 noun"	тереть	"глагол	 существительное"
controversy	noun	полемика	существительное
entrance	"noun	 verb"	вход	"существительное	 глагол"
properly	adverb	правильно	наречие
fade	verb	тускнеть	глагол
defensive	adjective	оборонительный	прилагательное
tragedy	noun	трагедия	существительное
net	adjective	сеть	прилагательное
characterize	verb	характеризовать	глагол
funeral	noun	похороны	существительное
profession	noun	профессия	существительное
alter	verb	изменить	глагол
constitute	verb	составляют	глагол
establishment	noun	учреждение	существительное
squeeze	verb	сжимать	глагол
imagination	noun	воображение	существительное
mask	noun	маска	существительное
convert	"verb	 noun"	конвертировать	"глагол	 существительное"
comprehensive	adjective	всесторонний	прилагательное
prominent	adjective	видный	прилагательное
presentation	noun	презентация	существительное
regardless	adverb	несмотря ни на что	наречие
load	"noun	 verb"	нагрузка	"существительное	 глагол"
stable	"adjective	 noun"	стабильный	"прилагательное	 существительное"
introduction	noun	введение	существительное
pretend	verb	притворяться	глагол
elderly	"adjective	 noun"	пожилой	"прилагательное	 существительное"
representation	noun	представительство	существительное
deer	noun	олень	существительное
split	"verb	 noun	 adjective"	расколоть	"глагол	 существительное	 прилагательное"
violate	verb	нарушать	глагол
partnership	noun	партнерство	существительное
pollution	noun	загрязнение	существительное
emission	noun	выбросы	существительное
steady	"adjective	 verb	 adverb"	устойчивый	"прилагательное	 глагол	 наречие"
vital	adjective	жизненно важный	прилагательное
fate	noun	судьба	существительное
earnings	noun	заработок	существительное
oven	noun	печь	существительное
distinction	noun	различие	существительное
segment	noun	сегмент	существительное
nowhere	"adverb	 noun"	нигде	"наречие	 существительное"
poet	noun	поэт	существительное
mere	adjective	просто	прилагательное
exciting	adjective	захватывающий	прилагательное
variation	noun	вариация	существительное
comfort	"noun	 verb"	комфорт	"существительное	 глагол"
radical	adjective	радикальный	прилагательное
adapt	verb	адаптироваться	глагол
irish	"adjective	 noun"	ирландский	"прилагательное	 существительное"
honey	noun	мед	существительное
correspondent	noun	корреспондент	существительное
pale	"adjective	 verb	 noun"	бледный	"прилагательное	 глагол	 существительное"
musician	noun	музыкант	существительное
significance	noun	значение	существительное
vessel	noun	судно	существительное
storage	noun	хранилище	существительное
flee	verb	бежать	глагол
mm	interjection	мм	междометие
hmm	interjection	хм	междометие
leather	"noun	 adjective"	кожа	"существительное	 прилагательное"
distribute	verb	распространять	глагол
evolution	noun	эволюция	существительное
ill	"adjective	 adverb	 noun"	больной	"прилагательное	 наречие	 существительное"
tribe	noun	племя	существительное
shelf	noun	полка	существительное
grandfather	noun	дедушка	существительное
lawn	noun	лужайка	существительное
buyer	noun	покупатель	существительное
dining	noun	столовая	существительное
wisdom	noun	мудрость	существительное
council	noun	совет	существительное
vulnerable	adjective	уязвимый	прилагательное
instance	noun	пример	существительное
garlic	noun	чеснок	существительное
capability	noun	способность	существительное
poetry	noun	поэзия	существительное
celebrity	noun	знаменитость	существительное
gradually	adverb	постепенно	наречие
stability	noun	стабильность	существительное
fantasy	noun	фантастика	существительное
scared	adjective	испуганный	прилагательное
plot	"noun	 verb"	сюжет	"существительное	 глагол"
framework	noun	рамки	существительное
gesture	noun	жест	существительное
depending	verb	в зависимости	глагол
ongoing	adjective	непрерывный	прилагательное
psychology	noun	психология	существительное
counselor	noun	консультант	существительное
chapter	noun	глава	существительное
divorce	noun verb	развод	существительное глагол
owe	verb	быть должным	глагол
pipe	"noun	 verb"	трубка	"существительное	 глагол"
athletic	adjective	спортивный	прилагательное
slight	"adjective	 noun	 verb"	легкий	"прилагательное	 существительное	 глагол"
math	noun	математика	существительное
shade	"noun	 verb"	оттенок	"существительное	 глагол"
tail	"noun	 verb"	хвост	"существительное	 глагол"
sustain	verb	поддерживать	глагол
mount	"verb	 noun"	устанавливать	"глагол	 существительное"
obligation	noun	обязательство	существительное
angle	"noun	 verb"	угол	"существительное	 глагол"
palm	noun	ладонь	существительное
differ	verb	отличаться	глагол
custom	"noun	 adjective"	обычай	"существительное	 прилагательное"
economist	noun	экономист	существительное
fifteen	number	пятнадцать	число
soup	noun	суп	существительное
celebration	noun	праздник	существительное
efficient	adjective	эффективный	прилагательное
composition	noun	композиция	существительное
satisfy	verb	удовлетворить	глагол
pile	"noun	 verb"	куча	"существительное	 глагол"
briefly	adverb	кратко	наречие
carbon	noun	углерод	существительное
closer	"adjective	 noun"	ближе	"прилагательное	 существительное"
consume	verb	потреблять	глагол
scheme	"noun	 verb"	схема	"существительное	 глагол"
crack	verb noun	трескаться	глагол существительное
frequency	noun	частота	существительное
tobacco	noun	табак	существительное
survivor	noun	выживший	существительное
besides	preposition adverb	кроме	предлог наречие
psychologist	noun	психолог	существительное
wealthy	adjective	богатый	прилагательное
galaxy	noun	галактика	существительное
given	"adjective	 preposition"	данный	"прилагательное	 предлог"
ski	"noun	 verb"	лыжи	"существительное	 глагол"
limitation	noun	ограничение	существительное
trace	verb noun	след	глагол существительное
appointment	noun	встреча	существительное
preference	noun	предпочтение	существительное
meter	"noun	 verb"	метр	"существительное	 глагол"
explosion	noun	взрыв	существительное
publicly	adverb	публично	наречие
incredible	adjective	невероятный	прилагательное
fighter	noun	боец	существительное
rapid	"adjective	 noun"	стремительный	"прилагательное	 существительное"
admission	noun	допуск	существительное
hunter	noun	охотник	существительное
educate	verb	обучать	глагол
painful	adjective	болезненный	прилагательное
friendship	noun	дружба	существительное
aide	noun	помощник	существительное
infant	noun	младенец	существительное
calculate	verb	вычислить	глагол
fifty	number	пятьдесят	число
rid	verb	избавлять	глагол
porch	noun	порог	существительное
tendency	noun	тенденция	существительное
uniform	"noun	 adjective"	униформа	"существительное	 прилагательное"
formation	noun	формирование	существительное
scholarship	noun	стипендия	существительное
reservation	noun	бронирование	существительное
efficiency	noun	эффективность	существительное
qualify	verb	квалифицироваться	глагол
mall	noun	торговый центр	существительное
derive	verb	вывести	глагол
scandal	noun	скандал	существительное
pc	noun (abbreviation for 'personal computer')	ПК	существительное (сокращение от «персональный компьютер»)
helpful	adjective	полезный	прилагательное
impress	verb	произвести впечатление	глагол
heel	"noun	 verb"	каблук	"существительное	 глагол"
resemble	verb	напоминать	глагол
privacy	noun	конфиденциальность	существительное
fabric	noun	ткань	существительное
contest	"noun	 verb"	конкурс	"существительное	 глагол"
proportion	noun	пропорция	существительное
guideline	noun	ориентир	существительное
rifle	noun	винтовка	существительное
maintenance	noun	обслуживание	существительное
conviction	noun	убеждение	существительное
trick	"noun	 verb"	обманывать	"существительное	 глагол"
organic	adjective	органический	прилагательное
tent	noun	палатка	существительное
examination	noun	обследование	существительное
publisher	noun	издатель	существительное
strengthen	verb	укреплять	глагол
proposed	"adjective	 verb"	предложенный	"прилагательное	 глагол"
myth	noun	миф	существительное
sophisticated	adjective	сложный	прилагательное
cow	"noun	 verb"	корова	"существительное	 глагол"
etc	adverb (abbreviation for 'et cetera')	и т. д.	наречие (сокращение от «и так далее»)
standing	adjective	стоя	прилагательное
asleep	adjective	спящий	прилагательное
tennis	noun	теннис	существительное
nerve	"noun	 verb"	нерв	"существительное	 глагол"
barrel	noun	бочка	существительное
bombing	noun	бомбардировка	существительное
membership	noun	членство	существительное
ratio	noun	соотношение	существительное
menu	noun	меню	существительное
controversial	adjective	спорный	прилагательное
desperate	adjective	отчаянный	прилагательное
lifestyle	noun	образ жизни	существительное
humor	"noun	 verb"	юмор	"существительное	 глагол"
loud	"adjective	 adverb"	громкий	"прилагательное	 наречие"
glove	noun	перчатка	существительное
sufficient	adjective	достаточный	прилагательное
narrative	"noun	 adjective"	повествование	"существительное	 прилагательное"
photographer	noun	фотограф	существительное
helicopter	noun	вертолет	существительное
modest	adjective	скромный	прилагательное
provider	noun	поставщик	существительное
delay	"noun	 verb"	задерживать	"существительное	 глагол"
agricultural	adjective	сельскохозяйственный	прилагательное
explode	verb	взорваться	глагол
stroke	noun	гладить	существительное
scope	noun	объем	существительное
punishment	noun	наказание	существительное
handful	noun	горстка	существительное
badly	adverb	плохо	наречие
horizon	noun	горизонт	существительное
curious	adjective	любопытный	прилагательное
downtown	"adjective	 adverb	 noun"	центр города	"прилагательное	 наречие	 существительное"
girlfriend	noun	подруга	существительное
prompt	verb	быстрый	глагол
cholesterol	noun	холестерин	существительное
absorb	verb	поглощать	глагол
adjustment	noun	корректирование	существительное
taxpayer	noun	налогоплательщик	существительное
eager	adjective	жаждущий	прилагательное
principal	adjective noun	главный	прилагательное существительное
detailed	adjective	подробный	прилагательное
motivation	noun	мотивация	существительное
assignment	noun	назначение	существительное
restriction	noun	ограничение	существительное
laboratory	noun	лаборатория	существительное
workshop	noun	мастерская	существительное
differently	adverb	по-другому	наречие
auto	noun	авто	существительное
romantic	"adjective	 noun"	романтический	"прилагательное	 существительное"
cotton	"noun	 adjective"	хлопок	"существительное	 прилагательное"
motor	"noun	 adjective"	мотор	"существительное	 прилагательное"
sue	verb	Сью	глагол
flavor	noun	вкус	существительное
overlook	verb	игнорировать	глагол
float	"verb	 noun"	плавать	"глагол	 существительное"
undergo	verb	подвергаться	глагол
sequence	"noun	 verb"	последовательность	"существительное	 глагол"
demonstration	noun	демонстрация	существительное
jet	noun	реактивный самолет	существительное
orange	"noun	 adjective"	апельсин	"существительное	 прилагательное"
consumption	noun	потребление	существительное
assert	verb	утверждать	глагол
blade	noun	лезвие	существительное
temporary	"adjective	 noun"	временный	"прилагательное	 существительное"
medication	noun	медикамент	существительное
cabin	noun	каюта	существительное
bite	"verb	 noun"	кусать	"глагол	 существительное"
edition	noun	версия	существительное
valley	noun	долина	существительное
yours	pronoun	твой	местоимение
pitch	"noun	 verb"	подача	"существительное	 глагол"
pine	"noun	 verb"	сосна	"существительное	 глагол"
brilliant	adjective	блестящий	прилагательное
versus	"	 conj."	против	"	 конж."
manufacturing	noun	производство	существительное
absolute	"adjective	 noun"	абсолютный	"прилагательное	 существительное"
chef	noun	повар	существительное
discrimination	noun	дискриминация	существительное
offensive	"adjective	 noun"	оскорбительный	"прилагательное	 существительное"
boom	noun	бум	существительное
register	"noun	 verb"	зарегистрироваться	"существительное	 глагол"
appoint	verb	назначать	глагол
heritage	noun	наследство	существительное
god	noun	бог	существительное
dominant	adjective	доминирующий	прилагательное
successfully	adverb	успешно	наречие
shit	"noun	 verb	 interjection"	дерьмо	"существительное	 глагол	 междометие"
lemon	"noun	 adjective"	лимон	"существительное	 прилагательное"
hungry	adjective	голодный	прилагательное
wander	verb	бродить	глагол
submit	verb	представлять на рассмотрение	глагол
economics	noun	экономика	существительное
naked	adjective	голый	прилагательное
anticipate	verb	предвидеть	глагол
nut	noun	орех	существительное
legacy	noun	наследие	существительное
extension	noun	расширение	существительное
shrug	verb	пожать плечами	глагол
battery	noun	батарея	существительное
arrival	noun	прибытие	существительное
legitimate	adjective	законный	прилагательное
orientation	noun	ориентация	существительное
inflation	noun	инфляция	существительное
cope	verb	справляться	глагол
flame	"noun	 verb"	пламя	"существительное	 глагол"
cluster	noun	кластер	существительное
wound	"noun	 verb"	ранить	"существительное	 глагол"
dependent	adjective	зависимый	прилагательное
shower	"noun	 verb"	душ	"существительное	 глагол"
institutional	adjective	институциональный	прилагательное
depict	verb	изображать	глагол
operating	adjective	действующий	прилагательное
flesh	noun	плоть	существительное
garage	"noun	 verb"	гараж	"существительное	 глагол"
operator	noun	оператор	существительное
instructor	noun	инструктор	существительное
collapse	"verb	 noun"	крах	"глагол	 существительное"
borrow	verb	занимать	глагол
furthermore	adverb	более того	наречие
comedy	noun	комедия	существительное
mortgage	noun	ипотека	существительное
sanction	noun	санкция	существительное
civilian	noun adjective	гражданский	существительное прилагательное
twelve	number	двенадцать	число
weekly	adjective	еженедельно	прилагательное
habitat	noun	среда обитания	существительное
grain	noun	зерно	существительное
brush	"noun	 verb"	щетка	"существительное	 глагол"
consciousness	noun	сознание	существительное
devote	verb	посвящать	глагол
measurement	noun	измерение	существительное
province	noun	провинция	существительное
ease	noun verb	простота	существительное глагол
seize	verb	захватывать	глагол
ethics	noun	этика	существительное
nomination	noun	номинация	существительное
permission	noun	разрешение	существительное
wise	adjective	мудрый	прилагательное
actress	noun	актриса	существительное
summit	noun	саммит	существительное
acid	noun adjective	кислота	существительное прилагательное
odds	noun	шансы	существительное
gifted	adjective	одаренный	прилагательное
frustration	noun	разочарование	существительное
medium	"noun	 adjective"	середина	"существительное	 прилагательное"
physically	adverb	физически	наречие
distinguish	verb	различать	глагол
shore	noun	берег	существительное
repeatedly	adverb	неоднократно	наречие
lung	noun	легкое	существительное
running	"adjective	 noun"	бег	"прилагательное	 существительное"
distinct	adjective	отчетливый	прилагательное
artistic	adjective	художественный	прилагательное
discourse	noun	дискурс	существительное
basket	noun	корзина	существительное
ah	interjection	ах	междометие
fighting	"noun	 adjective"	борьба	"существительное	 прилагательное"
impressive	adjective	впечатляющий	прилагательное
competitor	noun	конкурент	существительное
ugly	adjective	уродливый	прилагательное
worried	adjective	волновался	прилагательное
portray	verb	изображать	глагол
powder	"noun	 verb"	пудра	"существительное	 глагол"
ghost	"noun	 verb"	призрак	"существительное	 глагол"
persuade	verb	убеждать	глагол
moderate	adjective	умеренный	прилагательное
subsequent	adjective	последующий	прилагательное
continued	"adjective	 verb"	продолжение	"прилагательное	 глагол"
cookie	noun	печенье	существительное
carrier		перевозчик	#VALUE!
cooking	noun	приготовление пищи	существительное
frequent	adjective	частый	прилагательное
ban	"noun	 verb"	запретить	"существительное	 глагол"
awful	"adjective	 adverb"	ужасный	"прилагательное	 наречие"
admire	verb	восхищаться	глагол
pet	"noun	 verb	 adjective"	домашний питомец	"существительное	 глагол	 прилагательное"
miracle	noun	чудо	существительное
exceed	verb	превосходить	глагол
rhythm	noun	ритм	существительное
widespread	adjective	широко распространенный	прилагательное
killing	"noun	 adjective"	убийство	"существительное	 прилагательное"
lovely	adjective	прекрасный	прилагательное
sin	noun	грех	существительное
charity	noun	благотворительность	существительное
script	noun	сценарий	существительное
tactic	noun	тактика	существительное
identification	noun	идентификация	существительное
transformation	noun	трансформация	существительное
everyday	"adjective	 adverb"	каждый день	"прилагательное	 наречие"
headline	"noun	 verb"	заголовок	"существительное	 глагол"
venture	noun verb	риск	существительное глагол
invasion	noun	вторжение	существительное
nonetheless	adverb	тем не менее	наречие
adequate	adjective	адекватный	прилагательное
piano	noun	фортепиано	существительное
grocery	noun	бакалея	существительное
intensity	noun	интенсивность	существительное
exhibit	"noun	 verb"	выставка	"существительное	 глагол"
blanket	noun	одеяло	существительное
margin	noun	допуск	существительное
quarterback	"noun	 verb"	защитник	"существительное	 глагол"
mouse	noun	мышь	существительное
rope	"noun	 verb"	веревка	"существительное	 глагол"
concrete	adjective noun	конкретный	прилагательное существительное
prescription	noun	рецепт	существительное
chase	verb noun	гнаться	глагол существительное
brick	noun	кирпич	существительное
recruit	verb noun	нанимать	глагол существительное
patch	noun	пластырь	существительное
consensus	noun	консенсус	существительное
horror	noun	ужас	существительное
recording	noun	запись	существительное
changing	"adjective	 verb"	изменение	"прилагательное	 глагол"
painter	noun	художник	существительное
colonial	adjective	колониальный	прилагательное
pie	noun	пирог	существительное
sake	noun	ради	существительное
gaze	noun verb	взгляд	существительное глагол
courage	noun	храбрость	существительное
pregnancy	noun	беременность	существительное
swear	verb	ругаться	глагол
defeat	"noun	 verb"	поражение	"существительное	 глагол"
clue	"noun	 verb"	зацепка	"существительное	 глагол"
reinforce	verb	усиливать	глагол
confusion	noun	путаница	существительное
slice	"noun	 verb"	кусочек	"существительное	 глагол"
occupation	noun	занятие	существительное
dear	"adjective	 noun	 interjection"	дорогой	"прилагательное	 существительное	 междометие"
coal	noun	уголь	существительное
sacred	adjective	священный	прилагательное
formula	noun	формула	существительное
cognitive	adjective	познавательный	прилагательное
collective	adjective	коллектив	прилагательное
exact	"adjective	 verb"	точный	"прилагательное	 глагол"
uncle	noun	дядя	существительное
captain	"noun	 verb"	капитан	"существительное	 глагол"
sigh	verb noun	вздох	глагол существительное
attribute	verb noun	атрибут	глагол существительное
dare	verb	осмелиться	глагол
homeless	adjective	бездомный	прилагательное
gallery	noun	галерея	существительное
soccer	noun	футбольный	существительное
defendant	noun	ответчик	существительное
tunnel	"noun	 verb"	туннель	"существительное	 глагол"
fitness	noun	фитнес	существительное
lap	noun	колени	существительное
grave	"noun	 adjective"	могила	"существительное	 прилагательное"
toe	"noun	 verb"	палец на ноге	"существительное	 глагол"
container	noun	контейнер	существительное
virtue	noun	достоинство	существительное
abroad	adverb	за границей	наречие
architect	noun	архитектор	существительное
dramatically	adverb	резко	наречие
makeup	noun	составить	существительное
inquiry	noun	расследование	существительное
rose	noun	роза	существительное
surprisingly	adverb	удивительно	наречие
highlight	"noun	 verb"	выделять	"существительное	 глагол"
decrease	"noun	 verb"	снижаться	"существительное	 глагол"
indication	noun	указание	существительное
rail	noun	рельс	существительное
anniversary	noun	годовщина	существительное
couch	noun	диван	существительное
alliance	noun	альянс	существительное
hypothesis	noun	гипотеза	существительное
boyfriend	noun	парень	существительное
compose	verb	сочинять	глагол
mess	"noun	 verb"	беспорядок	"существительное	 глагол"
legend	noun	легенда	существительное
regulate	verb	регулировать	глагол
adolescent	noun	подросток	существительное
shine	"verb	 noun"	светить	"глагол	 существительное"
norm	noun	норма	существительное
upset	"verb	 adjective	 noun"	расстройство	"глагол	 прилагательное	 существительное"
remark	"noun	 verb"	замечание	"существительное	 глагол"
resign	verb	подать в отставку	глагол
reward	"noun	 verb"	награда	"существительное	 глагол"
gentle	adjective	нежный	прилагательное
related	adjective	связанный	прилагательное
organ	noun	орган	существительное
lightly	adverb	слегка	наречие
concerning	preposition	касательно	предлог
invent	verb	изобретать	глагол
laughter	noun	смех	существительное
northwest	"noun	 adjective	 adverb"	северо-запад	"существительное	 прилагательное	 наречие"
counseling	noun	консультирование	существительное
receiver	noun	получатель	существительное
ritual	noun	ритуал	существительное
insect	noun	насекомое	существительное
interrupt	verb	прерывать	глагол
salmon	noun	лосось	существительное
trading	noun	торговля	существительное
magic	"noun	 adjective"	магия	"существительное	 прилагательное"
superior	adjective	начальство	прилагательное
combat	noun verb	бой	существительное глагол
stem	noun verb	корень	существительное глагол
surgeon	noun	хирург	существительное
acceptable	adjective	приемлемый	прилагательное
physics	noun	физика	существительное
rape	noun verb	изнасилование	существительное глагол
counsel	"noun	 verb"	адвокат	"существительное	 глагол"
jeans	noun	джинсы	существительное
hunt	"verb	 noun"	охота	"глагол	 существительное"
continuous	adjective	непрерывный	прилагательное
log	noun verb	бревно	существительное глагол
echo	verb noun	эхо	глагол существительное
pill	noun	таблетка	существительное
excited	adjective	взволнованный	прилагательное
sculpture	"noun	 verb"	скульптура	"существительное	 глагол"
compound	noun	сложный	существительное
integrate	verb	интегрировать	глагол
flour	"noun	 verb"	мука	"существительное	 глагол"
bitter	adjective	горький	прилагательное
bare	adjective	голый	прилагательное
slope	"noun	 verb"	склон	"существительное	 глагол"
rent	"noun	 verb"	арендовать	"существительное	 глагол"
presidency	noun	президентство	существительное
serving	noun	сервировка	существительное
subtle	adjective	тонкий	прилагательное
greatly	adverb	значительно	наречие
bishop	noun	епископ	существительное
drinking	"noun	 adjective"	питьевой	"существительное	 прилагательное"
acceptance	noun	принятие	существительное
pump	verb noun	насос	глагол существительное
candy	noun	конфеты	существительное
evil	"adjective	 noun"	зло	"прилагательное	 существительное"
pleased	adjective	довольный	прилагательное
medal	noun	медаль	существительное
beg	verb	просить	глагол
sponsor	"noun	 verb"	спонсор	"существительное	 глагол"
ethical	adjective	этический	прилагательное
secondary	adjective	вторичный	прилагательное
slam	verb	хлопнуть	глагол
export	"noun	 verb"	экспорт	"существительное	 глагол"
experimental	adjective	экспериментальный	прилагательное
melt	"verb	 noun"	таять	"глагол	 существительное"
midnight	noun	полночь	существительное
curve	"noun	 verb"	изгиб	"существительное	 глагол"
integrity	noun	честность	существительное
entitle	verb	давать право	глагол
evident	adjective	очевидный	прилагательное
logic	noun	логика	существительное
essence	noun	сущность	существительное
exclude	verb	исключать	глагол
harsh	adjective	жесткий	прилагательное
closet	"noun	 adjective"	шкаф	"существительное	 прилагательное"
suburban	adjective	пригородный	прилагательное
greet	verb	приветствовать	глагол
interior	adjective noun	интерьер	прилагательное существительное
corridor	noun	коридор	существительное
retail	noun	розничная торговля	существительное
pitcher	noun	кувшин	существительное
march	noun verb	маршировать	существительное глагол
snake	"noun	 verb"	змея	"существительное	 глагол"
excuse	"noun	 verb"	извинение	"существительное	 глагол"
weakness	noun	слабость	существительное
pig	noun	свинья	существительное
classical	adjective	классический	прилагательное
estimated	"adjective	 verb"	оцененный	"прилагательное	 глагол"
